Original URL,Migrated URL,AOE Approval Date,Customer Approval Date,Notes
https://www.onfi.com/about-onfi,https://main--ise-boilerplate--aemdemos.aem.page/page,,,
https://www.onfi.com/errorpage/403,,,,
https://www.onfi.com/errorpage/404,,,,
https://www.onfi.com/errorpage/500,,,,
https://www.onfi.com/errorpage,,,,
https://www.onfi.com/guides,,,,
https://www.onfi.com/guides/planning-for-lgs,,,,
https://www.onfi.com/healthcare-professionals,,,,
https://www.onfi.com/,,,,
https://www.onfi.com/lennox-gastaut-syndrome,,,,
https://www.onfi.com/onfi-savings-resources-and-support/asking-for-onfi-by-name,,,,
https://www.onfi.com/onfi-savings-resources-and-support,,,,
https://www.onfi.com/onfi-savings-resources-and-support/paying-for-onfi,,,,
https://www.onfi.com/onfi-savings-resources-and-support/paying-for-onfi/other-support,,,,
https://www.onfi.com/search,,,,
https://www.onfi.com/site-map,,,,
https://www.onfi.com/sitemap,,,,
https://www.onfi.com/onfiinterstitial,,,,
https://www.sabril.net/about,,,,
https://www.sabril.net/about/sabril-side-effects,,,,
https://www.sabril.net/about/taking-sabril,,,,
https://www.sabril.net/errorpage/403,,,,
https://www.sabril.net/errorpage/404,,,,
https://www.sabril.net/errorpage/500,,,,
https://www.sabril.net/errorpage,,,,
https://www.sabril.net/(index),,,,
https://www.sabril.net/prescribing-sabril,,,,
https://www.sabril.net/sabril-for-infantile-spasms,,,,
https://www.sabril.net/sabril-for-refractory-complex-partial-seizures,,,,
https://www.sabril.net/site-map,,,,
https://www.sabril.net/sitemap,,,,
https://www.xenazineusa.com/hcp,,,,
https://www.xenazineusa.com/,,,,
https://www.vyepti.com/404,,,,
https://www.vyepti.com/500,,,,
https://www.vyepti.com/could-vyepti-be-right-for-you,,,,
https://www.vyepti.com/doctor-discussion-guide,,,,
https://www.vyepti.com/downloadable-resources,,,,
https://www.vyepti.com/errors/500,,,,
https://www.vyepti.com/errors,,,,
https://www.vyepti.com/financial-assistance,,,,
https://www.vyepti.com/home,,,,
https://www.vyepti.com/homepage-campaign-orphan,,,,
https://www.vyepti.com/how-vyepti-works,,,,
https://www.vyepti.com/isi,,,,
https://www.vyepti.com/,,,,
https://www.vyepti.com/nurse-support,,,,
https://www.vyepti.com/prescribed-thank-you,,,,
https://www.vyepti.com/real-life-impact,,,,
https://www.vyepti.com/real-patient-stories,,,,
https://www.vyepti.com/search-results,,,,
https://www.vyepti.com/share-your-migraine-story,,,,
https://www.vyepti.com/site-map,,,,
https://www.vyepti.com/stay-connected,,,,
https://www.vyepti.com/tv-concert-commercial,,,,
https://www.vyepti.com/unprescribed-video-thank-you,,,,
https://www.vyepti.com/vyepti-faq,,,,
https://www.vyepti.com/vyepti-insurance-coverage,,,,
https://www.vyepti.com/vyepti-locator,,,,
https://www.vyepti.com/vyepti-mvp-enrollment,,,,
https://www.vyepti.com/vyepti-side-effects,,,,
https://www.vyepti.com/vyepti-study-results,,,,
https://www.vyepti.com/what-to-expect,,,,
https://www.vyepti.com/why-iv-treatment,,,,
/content/experience-fragments/lundbeck/neurology/vyepti/vyepti/dtc/dtc_overhaul/asset_cards,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/real-patient-stories
/content/experience-fragments/lundbeck/neurology/vyepti/picl/picl-locator/picl-locator-dtc/master,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/vyepti-locator
/content/experience-fragments/lundbeck/neurology/vyepti/vyepti/dtc/dtc_overhaul/getting-treatment/master,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/what-to-expect
/content/experience-fragments/lundbeck/neurology/vyepti/vyepti/dtc/dtc_overhaul/getting-treatment/during,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/what-to-expect
/content/experience-fragments/lundbeck/neurology/vyepti/vyepti/dtc/dtc_overhaul/getting-treatment/after,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/what-to-expect
/content/experience-fragments/lundbeck/neurology/vyepti/vyepti/dtc/dtc_overhaul/forms/savings-and-support-popup/master,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/financial-assistance
/content/experience-fragments/lundbeck/neurology/vyepti/vyepti/dtc/dtc_overhaul/modals/savings-and-support-popup-modal/master,,,,/content/lundbeck/neurology/vyepti/vyepti/en_us/financial-assistance
https://www.lundbeckmedinfo.com/us/en/hcp/errors/404,,,,
https://www.lundbeckmedinfo.com/us/en/hcp/errors,,,,
https://www.lundbeckmedinfo.com/us/en/hcp/home,,,,
https://www.lundbeckmedinfo.com/us/en/hcp/medical-inquiry,,,,
https://www.lundbeckmedinfo.com/us/en/hcp/medical-inquiry-thank-you,,,,
https://www.lundbeckmedinfo.com/us/en/hcp/products,,,,
https://www.lundbeckmedinfo.com/us/en/hcp/search-results,,,,
https://www.lundbeckmedinfo.com/us/en/patient/errors/404,,,,
https://www.lundbeckmedinfo.com/us/en/patient/home,,,,
